N,P,K,Crop
85,19,161,Fig
96,22,100,Sesame
145,25,116,Mustard
159,21,145,Paddy
69,13,98,Black Gram (Urad)
118,23,116,Castor
60,20,107,Bengal Gram (Chickpea)
116,26,191,Garlic
72,18,142,Cashewnut
89,20,125,Muskmelon
61,24,109,Avare (Field Bean)
119,25,194,Ginger
70,25,131,Tur (Arhar/Toor Dal)
172,23,280,Banana
136,20,135,Chillies
167,24,274,Mango
127,23,167,Avocado
103,20,82,Jowar (Sorghum)
58,20,90,Green Gram (Moong)
52,20,119,Horse Gram
184,24,276,Sugarcane
74,20,104,Sunhemp
74,13,85,Sunhemp
59,26,108,Bengal Gram (Chickpea)
158,29,281,Arecanut
192,15,269,Banana
76,22,118,Mesta
76,24,181,Sapota
154,20,299,Coconut
139,12,151,Dragon Fruit
66,30,109,Bengal Gram (Chickpea)
75,10,109,Black Gram (Urad)
125,30,155,Guava
85,20,190,Tapioca
53,27,107,Soybean
89,20,109,Lichi
124,29,162,Garlic
145,18,120,Ragi (Finger Millet)
63,24,126,Groundnut
91,19,151,Tapioca
135,28,188,Pomegranate
190,19,204,Potato
55,15,145,Coriander
114,15,95,Jowar (Sorghum)
89,20,130,Lichi
197,17,236,Coconut
101,21,171,Guava
94,24,190,Sapota
142,26,172,Pomegranate
108,22,102,Castor
125,29,192,Tobacco
129,16,162,Safflower
113,13,81,Ragi (Finger Millet)
86,17,198,Sapota
54,13,121,Coriander
130,20,190,Dragon Fruit
151,16,260,Potato
193,25,107,Wheat
78,25,167,Fig
150,18,166,Dragon Fruit
72,18,113,Cowpea
124,23,171,Orange
85,24,153,Pineapple
61,22,144,Groundnut
128,15,162,Lemon
192,25,198,Jackfruit
59,12,120,Horse Gram
177,15,196,Maize
188,29,265,Mango
98,16,122,Muskmelon
55,25,119,Bengal Gram (Chickpea)
124,20,194,Tobacco
186,27,233,Mango
73,21,124,Groundnut
59,19,110,Sitaphal (Custard Apple)
51,13,106,Horse Gram
103,29,177,Ginger
167,24,186,Tomato
89,18,102,Sesame
102,19,162,Dragon Fruit
186,24,202,Arecanut
68,13,129,Coriander
67,17,117,Coriander
166,17,108,Rice
67,20,97,Black Gram (Urad)
70,19,91,Avare (Field Bean)
58,11,130,Sitaphal (Custard Apple)
151,30,238,Mango
53,10,88,Black Gram (Urad)
101,11,103,Ragi (Finger Millet)
197,30,121,Wheat
129,26,145,Mustard
136,23,111,Mustard
139,10,92,Navane (Foxtail Millet)
146,19,170,Orange
118,19,119,Cotton
190,22,293,Banana
162,19,100,Paddy
162,18,293,Banana
59,22,107,Soybean
59,16,138,Coriander
108,26,194,Ginger
61,11,124,Sitaphal (Custard Apple)
71,13,108,Coriander
61,13,137,Coriander
94,21,113,Sesame
107,13,166,Dragon Fruit
87,18,137,Watermelon
126,27,107,Mustard
136,22,193,Orange
192,15,289,Potato
50,20,94,Sunhemp
176,15,278,Coconut
62,24,117,Cashewnut
142,23,176,Tobacco
120,13,94,Ragi (Finger Millet)
194,21,153,Tomato
189,22,202,Sugarcane
183,24,108,Rice
152,30,244,Grapes
112,23,154,Sunflower
123,23,122,Cotton
117,15,189,Sunflower
56,22,137,Cashewnut
118,14,99,Ragi (Finger Millet)
70,12,134,Coriander
176,27,184,Jackfruit
105,20,194,Safflower
55,18,142,Tur (Arhar/Toor Dal)
128,23,153,Ginger
107,24,160,Pomegranate
62,16,121,Tur (Arhar/Toor Dal)
119,22,138,Chillies
155,23,144,Rice
139,18,187,Safflower
136,25,174,Pepper
121,29,181,Pomegranate
123,16,85,Navane (Foxtail Millet)
125,19,177,Sunflower
86,17,142,Watermelon
154,22,250,Potato
138,19,200,Dragon Fruit
82,16,106,Watermelon
88,14,189,Tapioca
70,19,82,Black Gram (Urad)
66,12,114,Niger Seed
144,23,155,Cabbage
111,14,115,Navane (Foxtail Millet)
175,21,191,Maize
87,25,151,Fig
162,20,261,Coconut
87,22,205,Sweet Potato
159,24,209,Coconut
53,19,144,Sitaphal (Custard Apple)
162,16,117,Paddy
76,11,102,Linseed
83,22,212,Sweet Potato
131,30,151,Ginger
51,18,105,Sitaphal (Custard Apple)
82,10,138,Linseed
199,16,277,Sugarcane
52,20,106,Black Gram (Urad)
90,18,110,Lichi
134,15,127,Castor
98,21,198,Fig
57,22,122,Tur (Arhar/Toor Dal)
140,16,103,Cotton
128,26,153,Avocado
96,17,117,Muskmelon
184,30,197,Onion
151,22,129,Paddy
144,21,181,Turmeric
68,20,112,Coriander
88,15,242,Sweet Potato
128,11,94,Ragi (Finger Millet)
185,30,181,Tomato
198,17,146,Paddy
149,10,94,Navane (Foxtail Millet)
68,17,141,Sitaphal (Custard Apple)
72,21,86,Bengal Gram (Chickpea)
139,12,94,Navane (Foxtail Millet)
74,13,116,Black Gram (Urad)
119,27,195,Pomegranate
175,26,161,Tomato
157,23,259,Banana
91,24,101,Mesta
144,29,176,Tobacco
160,19,286,Coconut
175,30,221,Mango
59,20,150,Sitaphal (Custard Apple)
98,20,112,Muskmelon
122,20,129,Chillies
94,19,147,Mesta
78,18,166,Tapioca
87,24,177,Fig
149,12,118,Ragi (Finger Millet)
105,27,175,Pepper
99,18,131,Lichi
71,15,117,Green Gram (Moong)
175,16,103,Rice
73,17,102,Cowpea
63,16,118,Black Gram (Urad)
139,25,171,Turmeric
131,13,153,Dragon Fruit
61,16,128,Tur (Arhar/Toor Dal)
64,29,88,Bengal Gram (Chickpea)
61,14,138,Coriander
50,13,99,Green Gram (Moong)
64,12,106,Horse Gram
135,22,150,Cabbage
72,17,103,Coriander
98,11,109,Watermelon
153,24,113,Wheat
148,27,158,Guava
182,30,174,Tomato
165,24,294,Arecanut
124,29,189,Tobacco
166,23,212,Sugarcane
176,23,200,Jackfruit
113,15,113,Cotton
98,24,142,Mesta
184,27,187,Jackfruit
79,24,106,Mesta
160,19,255,Potato
53,17,93,Sunhemp
150,25,186,Maize
130,16,88,Bajra (Pearl Millet)
181,20,158,Jackfruit
158,27,179,Tomato
74,22,100,Bengal Gram (Chickpea)
54,17,83,Cowpea
71,16,108,Horse Gram
149,25,191,Tobacco
123,20,162,Sunflower
132,20,151,Lemon
91,25,107,Cardamom
104,19,157,Cabbage
184,15,285,Banana
78,19,181,Sapota
61,14,106,Cowpea
71,13,86,Horse Gram
119,24,186,Cabbage
122,18,111,Navane (Foxtail Millet)
86,10,114,Linseed
147,28,135,Mustard
87,16,213,Sweet Potato
164,24,147,Rice
103,27,171,Pepper
121,25,155,Garlic
191,29,191,Jackfruit
172,18,141,Paddy
119,20,160,Cabbage
126,20,180,Dragon Fruit
149,23,192,Guava
110,14,99,Ragi (Finger Millet)
75,23,195,Sapota
185,20,119,Rice
136,16,200,Lemon
152,23,196,Onion
147,20,185,Pepper
56,16,119,Green Gram (Moong)
138,26,165,Avocado
87,23,107,Cardamom
111,28,168,Avocado
181,27,171,Jackfruit
157,19,137,Rice
160,30,284,Mango
129,26,180,Tobacco
131,12,175,Dragon Fruit
127,23,179,Turmeric
98,22,214,Sweet Potato
171,25,169,Jackfruit
109,25,137,Chillies
75,15,119,Sesame
59,17,143,Tur (Arhar/Toor Dal)
136,15,111,Jowar (Sorghum)
159,25,202,Mango
56,15,132,Sitaphal (Custard Apple)
119,17,166,Sunflower
59,16,80,Black Gram (Urad)
109,22,144,Mustard
97,12,147,Lichi
192,28,191,Onion
190,15,246,Potato
159,17,167,Maize
196,24,166,Onion
105,15,191,Lemon
113,23,189,Turmeric
198,18,227,Coconut
100,17,150,Dragon Fruit
96,25,199,Pineapple
103,24,160,Lemon
52,29,120,Bengal Gram (Chickpea)
61,20,95,Sunhemp
185,28,166,Onion
132,18,107,Bajra (Pearl Millet)
171,22,208,Mango
187,15,172,Maize
53,19,83,Niger Seed
175,19,241,Coconut
51,21,100,Avare (Field Bean)
105,15,114,Jowar (Sorghum)
170,23,113,Paddy
65,22,119,Avare (Field Bean)
125,29,155,Turmeric
190,16,174,Maize
60,11,107,Green Gram (Moong)
85,15,147,Linseed
118,22,160,Pomegranate
175,22,164,Jackfruit
64,10,119,Green Gram (Moong)
182,28,223,Grapes
158,26,164,Jackfruit
94,21,167,Pineapple
147,14,117,Ragi (Finger Millet)
141,23,102,Castor
146,24,191,Guava
78,12,164,Tapioca
63,15,117,Black Gram (Urad)
138,29,162,Avocado
112,11,81,Bajra (Pearl Millet)
79,13,151,Tapioca
197,17,127,Rice
113,25,172,Ginger
74,25,119,Avare (Field Bean)
174,23,199,Tomato
62,20,80,Niger Seed
104,23,179,Ginger
170,24,293,Potato
125,11,110,Bajra (Pearl Millet)
122,23,163,Safflower
191,21,129,Paddy
162,28,298,Grapes
95,20,126,Lichi
63,17,81,Green Gram (Moong)
166,20,130,Rice
101,19,128,Chillies
150,20,173,Avocado
89,21,124,Mesta
199,25,155,Jackfruit
136,14,180,Dragon Fruit
94,12,123,Muskmelon
70,28,118,Bengal Gram (Chickpea)
139,19,192,Safflower
130,21,174,Orange
149,28,187,Turmeric
66,12,81,Cowpea
67,10,87,Horse Gram
150,24,213,Arecanut
53,19,103,Horse Gram
138,22,181,Pomegranate
119,15,174,Lemon
139,25,191,Tobacco
57,14,88,Niger Seed
194,28,179,Onion
115,20,166,Tobacco
82,15,148,Muskmelon
106,17,82,Ragi (Finger Millet)
75,19,109,Cowpea
187,24,208,Potato
126,17,144,Chillies
133,25,196,Turmeric
127,22,158,Turmeric
185,29,242,Mango
175,25,121,Wheat
145,21,106,Mustard
64,16,120,Avare (Field Bean)
51,24,121,Soybean
64,14,108,Cowpea
57,20,110,Green Gram (Moong)
53,13,112,Sunhemp
140,22,152,Garlic
131,24,168,Avocado
64,13,115,Black Gram (Urad)
79,18,135,Cardamom
153,20,106,Paddy
58,20,82,Black Gram (Urad)
117,22,154,Turmeric
69,30,145,Soybean
50,14,121,Coriander
179,21,212,Potato
51,18,148,Groundnut
62,12,113,Sunhemp
84,20,251,Sweet Potato
73,25,130,Cashewnut
100,20,134,Mesta
177,21,130,Paddy
71,13,102,Black Gram (Urad)
60,16,114,Niger Seed
146,29,168,Pepper
106,17,177,Orange
195,21,158,Maize
127,21,166,Garlic
110,22,121,Cotton
145,24,200,Cabbage
68,22,143,Groundnut
174,21,120,Rice
80,10,116,Lichi
53,15,104,Sunhemp
73,21,91,Avare (Field Bean)
161,24,184,Tomato
101,28,190,Pomegranate
58,24,96,Bengal Gram (Chickpea)
107,23,194,Safflower
69,14,144,Sitaphal (Custard Apple)
142,21,102,Chillies
72,16,107,Green Gram (Moong)
115,10,198,Dragon Fruit
81,18,123,Cardamom
108,13,157,Dragon Fruit
142,24,136,Cotton
74,11,100,Green Gram (Moong)
129,24,156,Lemon
74,13,87,Black Gram (Urad)
88,22,89,Sesame
85,20,147,Lichi
69,27,121,Soybean
136,17,110,Bajra (Pearl Millet)
121,16,103,Navane (Foxtail Millet)
128,23,171,Lemon
169,23,134,Rice
100,19,118,Sesame
94,20,150,Fig
190,19,298,Potato
110,11,101,Ragi (Finger Millet)
50,17,116,Sunhemp
159,22,139,Wheat
108,19,173,Cabbage
90,15,137,Lichi
88,18,203,Sweet Potato
124,24,154,Lemon
85,14,185,Tapioca
62,19,102,Sitaphal (Custard Apple)
130,17,199,Safflower
53,12,116,Sunhemp
97,25,115,Mesta
121,15,177,Sunflower
138,17,120,Ragi (Finger Millet)
158,27,139,Wheat
188,21,282,Potato
133,18,111,Bajra (Pearl Millet)
190,30,174,Onion
94,11,115,Muskmelon
56,18,150,Tur (Arhar/Toor Dal)
77,14,132,Watermelon
130,20,164,Lemon
168,28,179,Jackfruit
56,16,89,Green Gram (Moong)
133,20,158,Guava
81,20,100,Watermelon
75,13,107,Niger Seed
143,16,173,Sunflower
155,30,191,Jackfruit
131,28,153,Ginger
127,11,91,Navane (Foxtail Millet)
76,15,171,Fig
96,20,182,Pineapple
55,12,106,Black Gram (Urad)
61,27,109,Bengal Gram (Chickpea)
79,15,115,Watermelon
81,15,140,Muskmelon
169,29,210,Arecanut
136,28,171,Garlic
132,27,149,Mustard
73,22,144,Soybean
132,22,143,Chillies
125,21,196,Tobacco
158,17,158,Maize
111,20,104,Navane (Foxtail Millet)
85,20,117,Lichi
128,27,182,Ginger
138,12,190,Dragon Fruit
116,24,183,Safflower
158,18,222,Coconut
65,12,85,Green Gram (Moong)
71,19,112,Niger Seed
80,18,173,Pineapple
143,11,87,Ragi (Finger Millet)
84,18,111,Mesta
167,15,142,Paddy
110,15,180,Lemon
122,24,170,Avocado
114,26,158,Turmeric
121,21,181,Orange
108,21,144,Mustard
51,25,102,Bengal Gram (Chickpea)
75,14,123,Watermelon
141,25,124,Mustard
104,21,181,Orange
148,23,157,Guava
171,18,248,Coconut
147,17,166,Lemon
81,19,149,Mesta
130,23,162,Orange
93,22,113,Sesame
73,30,90,Bengal Gram (Chickpea)
122,22,150,Lemon
52,20,100,Niger Seed
101,10,92,Jowar (Sorghum)
62,19,118,Groundnut
64,16,84,Avare (Field Bean)
127,25,156,Ginger
62,11,111,Horse Gram
140,21,153,Pepper
197,28,157,Tomato
112,18,133,Castor
137,18,109,Navane (Foxtail Millet)
63,23,101,Avare (Field Bean)
64,14,85,Sunhemp
95,20,193,Pineapple
141,21,177,Lemon
150,23,258,Banana
185,18,275,Banana
132,25,142,Chillies
135,18,152,Sunflower
163,30,223,Arecanut
57,13,114,Niger Seed
97,22,187,Pineapple
168,15,260,Sugarcane
153,21,190,Jackfruit
115,15,87,Ragi (Finger Millet)
144,25,146,Castor
74,23,100,Cashewnut
125,20,157,Dragon Fruit
106,24,177,Guava
83,16,110,Mesta
145,21,140,Cotton
160,22,170,Maize
190,22,175,Jackfruit
137,26,167,Avocado
161,25,168,Tomato
91,21,141,Mesta
110,27,174,Avocado
131,19,179,Sunflower
122,23,189,Lemon
100,25,178,Turmeric
61,19,81,Avare (Field Bean)
173,21,195,Jackfruit
57,12,125,Sitaphal (Custard Apple)
170,30,100,Wheat
144,22,172,Ginger
71,15,114,Niger Seed
59,21,110,Tur (Arhar/Toor Dal)
178,18,217,Potato
145,16,138,Cotton
102,22,121,Castor
197,25,202,Grapes
121,29,189,Avocado
80,23,172,Fig
129,23,191,Pepper
190,22,188,Onion
119,22,174,Garlic
70,16,148,Cashewnut
51,17,81,Horse Gram
56,25,139,Tur (Arhar/Toor Dal)
74,12,97,Cowpea
50,20,91,Black Gram (Urad)
55,29,107,Bengal Gram (Chickpea)
74,22,94,Avare (Field Bean)
98,16,131,Watermelon
186,16,192,Maize
174,27,139,Wheat
142,20,119,Castor
104,15,189,Lemon
190,24,264,Banana
102,20,171,Avocado
66,14,150,Coriander
54,26,92,Bengal Gram (Chickpea)
70,12,113,Horse Gram
66,11,119,Black Gram (Urad)
146,24,119,Cotton
169,21,142,Rice
102,16,193,Lemon
128,20,124,Chillies
111,17,184,Lemon
123,15,120,Chillies
63,25,117,Soybean
174,16,260,Coconut
115,30,194,Pepper
92,12,143,Muskmelon
181,23,186,Jackfruit
108,18,191,Dragon Fruit
130,15,194,Cabbage
75,15,94,Niger Seed
162,27,156,Tomato
102,20,159,Safflower
93,23,200,Sapota
65,14,117,Green Gram (Moong)
195,16,278,Potato
64,22,119,Avare (Field Bean)
56,21,121,Soybean
200,21,183,Onion
69,11,85,Horse Gram
70,12,101,Sunhemp
109,10,91,Bajra (Pearl Millet)
60,17,81,Black Gram (Urad)
135,17,190,Sunflower
145,25,197,Ginger
80,11,116,Lichi
79,19,104,Muskmelon
75,19,96,Sunhemp
116,22,171,Pepper
67,22,145,Groundnut
103,27,175,Guava
74,25,117,Bengal Gram (Chickpea)
54,21,125,Soybean
149,29,177,Ginger
59,10,105,Black Gram (Urad)
114,28,168,Tobacco
86,23,185,Sapota
105,17,97,Navane (Foxtail Millet)
137,15,182,Orange
195,28,220,Arecanut
54,26,104,Bengal Gram (Chickpea)
70,24,150,Tur (Arhar/Toor Dal)
61,14,115,Cowpea
104,15,148,Chillies
83,15,192,Pineapple
193,29,209,Arecanut
180,20,237,Grapes
91,21,105,Sesame
91,16,185,Pineapple
80,25,178,Sapota
171,24,214,Grapes
60,16,97,Sunhemp
58,13,88,Black Gram (Urad)
64,15,123,Groundnut
164,22,109,Paddy
97,22,167,Sapota
155,21,249,Sugarcane
146,18,125,Cotton
105,16,183,Safflower
188,25,206,Mango
165,26,152,Jackfruit
158,28,113,Wheat
189,29,120,Wheat
95,21,280,Sweet Potato
54,12,102,Niger Seed
75,14,192,Tapioca
76,20,252,Sweet Potato
131,16,186,Dragon Fruit
57,12,106,Coriander
110,27,181,Pepper
53,26,121,Soybean
130,17,153,Safflower
126,22,199,Cabbage
86,21,147,Cardamom
187,21,195,Jackfruit
120,27,115,Mustard
145,26,161,Guava
66,14,150,Sitaphal (Custard Apple)
168,22,129,Wheat
61,14,83,Horse Gram
84,15,192,Pineapple
81,18,140,Mesta
100,25,111,Chillies
158,18,292,Potato
70,18,90,Horse Gram
164,15,275,Coconut
83,18,141,Linseed
67,17,115,Sitaphal (Custard Apple)
79,25,100,Mesta
94,11,171,Tapioca
89,11,163,Tapioca
110,13,172,Dragon Fruit
143,27,196,Tobacco
59,20,124,Coriander
105,11,114,Jowar (Sorghum)
161,25,184,Tomato
51,22,104,Soybean
131,22,190,Sunflower
55,26,102,Bengal Gram (Chickpea)
88,21,250,Sweet Potato
179,27,210,Arecanut
190,28,143,Wheat
50,22,140,Groundnut
181,24,259,Mango
180,25,298,Coconut
148,23,198,Pomegranate
74,14,103,Niger Seed
94,23,83,Sesame
179,18,295,Coconut
112,23,178,Pepper
182,17,137,Rice
74,25,80,Bengal Gram (Chickpea)
101,16,141,Cotton
158,30,255,Arecanut
75,19,125,Coriander
120,28,196,Garlic
135,15,172,Dragon Fruit
153,22,104,Paddy
66,17,97,Green Gram (Moong)
70,20,136,Groundnut
109,22,162,Orange
164,21,267,Grapes
99,11,141,Lichi
62,16,119,Cowpea
78,25,285,Sweet Potato
167,25,297,Banana
64,30,119,Bengal Gram (Chickpea)
118,28,157,Guava
92,17,125,Lichi
75,23,197,Pineapple
155,28,118,Wheat
111,16,195,Sunflower
85,21,112,Mesta
115,23,129,Chillies
118,28,195,Guava
100,24,130,Cardamom
170,15,297,Banana
61,14,90,Green Gram (Moong)
87,10,147,Lichi
106,23,158,Ginger
94,18,129,Lichi
115,20,95,Bajra (Pearl Millet)
64,16,117,Sitaphal (Custard Apple)
53,14,93,Black Gram (Urad)
104,12,91,Jowar (Sorghum)
183,23,192,Maize
85,18,179,Sapota
124,20,194,Orange
156,22,147,Wheat
116,22,154,Pomegranate
133,13,120,Bajra (Pearl Millet)
144,17,120,Jowar (Sorghum)
148,17,85,Navane (Foxtail Millet)
115,23,173,Tobacco
88,25,117,Mesta
89,16,121,Watermelon
73,16,129,Groundnut
74,24,115,Soybean
182,23,270,Mango
84,13,148,Linseed
183,22,274,Banana
77,18,137,Muskmelon
110,25,170,Safflower
133,24,110,Castor
107,14,100,Jowar (Sorghum)
154,25,113,Rice
52,17,107,Tur (Arhar/Toor Dal)
107,13,109,Navane (Foxtail Millet)
91,10,124,Lichi
120,23,171,Orange
150,16,97,Bajra (Pearl Millet)
137,27,167,Pomegranate
76,21,117,Sesame
67,23,105,Soybean
173,27,170,Tomato
55,15,129,Sitaphal (Custard Apple)
139,18,104,Navane (Foxtail Millet)
121,12,111,Jowar (Sorghum)
122,10,103,Ragi (Finger Millet)
110,21,162,Pepper
113,21,187,Sunflower
69,13,133,Coriander
97,11,165,Tapioca
125,23,164,Cabbage
148,24,173,Guava
161,30,163,Onion
64,14,87,Sunhemp
103,13,119,Bajra (Pearl Millet)
139,10,97,Bajra (Pearl Millet)
150,22,158,Orange
125,12,190,Dragon Fruit
60,14,120,Sunhemp
113,20,155,Orange
60,19,93,Avare (Field Bean)
124,30,177,Pepper
51,12,112,Horse Gram
99,12,174,Tapioca
185,24,256,Banana
199,16,131,Rice
191,23,105,Wheat
71,21,121,Groundnut
106,16,104,Cotton
159,21,102,Rice
116,13,150,Dragon Fruit
129,14,86,Bajra (Pearl Millet)
157,19,227,Potato
50,27,120,Soybean
178,27,157,Tomato
54,19,137,Sitaphal (Custard Apple)
150,24,120,Rice
102,22,156,Safflower
86,17,105,Watermelon
84,20,156,Sapota
90,17,128,Mesta
100,18,134,Linseed
60,23,137,Soybean
65,18,111,Sitaphal (Custard Apple)
89,20,196,Sapota
174,25,159,Jackfruit
180,21,228,Sugarcane
112,25,140,Chillies
117,14,110,Bajra (Pearl Millet)
74,15,123,Cashewnut
93,20,89,Sesame
67,19,100,Coriander
144,24,155,Sunflower
68,16,103,Sunhemp
73,27,114,Bengal Gram (Chickpea)
92,15,170,Sapota
106,23,197,Avocado
76,16,116,Linseed
161,18,122,Paddy
74,24,119,Avare (Field Bean)
57,20,86,Bengal Gram (Chickpea)
70,16,99,Green Gram (Moong)
62,11,105,Black Gram (Urad)
75,16,102,Lichi
64,18,141,Groundnut
55,13,142,Sitaphal (Custard Apple)
118,17,174,Dragon Fruit
92,16,102,Muskmelon
154,29,101,Wheat
90,25,157,Sapota
175,16,242,Coconut
158,21,200,Potato
131,25,153,Sunflower
127,26,183,Ginger
51,26,100,Bengal Gram (Chickpea)
57,22,117,Soybean
71,23,135,Cashewnut
107,15,156,Orange
86,15,166,Sapota
132,27,155,Guava
58,17,111,Sunhemp
126,17,115,Castor
60,18,108,Black Gram (Urad)
69,14,89,Black Gram (Urad)
102,25,193,Safflower
184,16,284,Sugarcane
162,20,262,Sugarcane
85,17,284,Sweet Potato
130,18,151,Sunflower
115,22,112,Cotton
77,17,133,Lichi
124,15,156,Safflower
65,11,133,Sitaphal (Custard Apple)
150,19,142,Paddy
97,23,170,Pineapple
163,24,152,Onion
80,12,159,Tapioca
101,27,195,Garlic
115,18,115,Castor
194,23,184,Tomato
139,15,160,Dragon Fruit
55,19,102,Coriander
66,10,138,Coriander
65,11,117,Green Gram (Moong)
172,28,175,Jackfruit
65,16,112,Black Gram (Urad)
140,19,96,Bajra (Pearl Millet)
149,21,162,Orange
109,29,186,Pepper
62,11,115,Sunhemp
61,15,114,Green Gram (Moong)
83,23,267,Sweet Potato
89,13,125,Linseed
194,19,294,Potato
120,20,169,Avocado
73,18,150,Sitaphal (Custard Apple)
81,15,112,Muskmelon
66,12,116,Sunhemp
116,20,154,Turmeric
109,18,197,Dragon Fruit
120,24,187,Lemon
71,20,116,Black Gram (Urad)
197,24,266,Coconut
90,13,135,Linseed
90,17,182,Pineapple
80,18,187,Fig
199,26,114,Wheat
124,28,157,Pomegranate
53,14,116,Niger Seed
62,15,87,Avare (Field Bean)
145,21,169,Tobacco
92,15,183,Sapota
66,13,103,Cowpea
85,21,85,Sesame
179,23,143,Wheat
87,25,113,Sesame
153,18,273,Sugarcane
114,25,183,Guava
99,15,148,Watermelon
189,30,221,Mango
168,20,108,Paddy
142,13,80,Navane (Foxtail Millet)
94,22,190,Sapota
147,24,160,Garlic
124,24,189,Turmeric
74,18,99,Black Gram (Urad)
60,24,109,Tur (Arhar/Toor Dal)
141,23,180,Orange
62,21,148,Soybean
138,21,173,Turmeric
71,20,85,Cowpea
182,29,140,Wheat
167,20,248,Mango
118,13,94,Navane (Foxtail Millet)
199,20,158,Maize
66,12,111,Horse Gram
200,18,233,Sugarcane
169,25,285,Coconut
104,11,169,Dragon Fruit
63,20,98,Cowpea
62,10,96,Horse Gram
72,11,131,Coriander
96,15,121,Watermelon
142,29,195,Turmeric
146,17,92,Navane (Foxtail Millet)
61,28,117,Bengal Gram (Chickpea)
171,29,158,Jackfruit
145,29,118,Mustard
130,13,112,Jowar (Sorghum)
71,16,120,Black Gram (Urad)
88,16,123,Cardamom
89,17,178,Pineapple
145,16,197,Lemon
157,25,118,Rice
75,12,111,Sunhemp
145,18,159,Dragon Fruit
126,22,200,Pomegranate
179,24,146,Rice
168,29,260,Mango
96,21,186,Fig
136,18,82,Navane (Foxtail Millet)
140,20,88,Jowar (Sorghum)
84,13,131,Watermelon
84,22,123,Cardamom
148,23,166,Lemon
68,15,83,Avare (Field Bean)
168,19,274,Potato
185,28,176,Onion
182,28,169,Jackfruit
188,21,259,Mango
90,15,182,Tapioca
91,21,105,Mesta
104,21,194,Orange
200,26,193,Tomato
116,20,191,Sunflower
166,16,176,Maize
152,21,167,Jackfruit
199,15,295,Coconut
184,17,101,Paddy
137,19,108,Ragi (Finger Millet)
131,16,86,Bajra (Pearl Millet)
136,22,166,Pepper
145,29,186,Pepper
120,27,168,Avocado
169,21,280,Potato
54,10,104,Niger Seed
195,23,101,Rice
54,20,119,Coriander
101,20,169,Dragon Fruit
63,22,150,Groundnut
143,21,198,Garlic
155,29,253,Grapes
67,22,144,Tur (Arhar/Toor Dal)
173,18,206,Potato
130,20,157,Tobacco
148,15,113,Jowar (Sorghum)
66,23,117,Soybean
139,25,176,Pomegranate
200,17,260,Sugarcane
121,21,105,Castor
64,12,86,Sunhemp
54,18,147,Sitaphal (Custard Apple)
112,20,166,Pepper
182,24,212,Sugarcane
71,24,108,Bengal Gram (Chickpea)
135,20,173,Orange
162,19,123,Rice
196,26,249,Arecanut
116,17,159,Cabbage
123,25,185,Pomegranate
90,21,217,Sweet Potato
180,22,269,Coconut
126,22,150,Turmeric
100,20,138,Linseed
51,17,97,Avare (Field Bean)
53,24,99,Avare (Field Bean)
148,30,179,Pomegranate
186,21,300,Sugarcane
100,21,148,Castor
67,22,87,Bengal Gram (Chickpea)
97,19,174,Fig
127,26,179,Ginger
180,19,107,Paddy
71,16,123,Tur (Arhar/Toor Dal)
59,22,105,Cashewnut
165,20,118,Rice
200,21,282,Banana
66,28,147,Soybean
67,20,133,Groundnut
145,25,156,Orange
90,20,189,Sapota
187,19,180,Maize
58,16,91,Niger Seed
57,14,106,Black Gram (Urad)
96,17,132,Mesta
53,26,104,Bengal Gram (Chickpea)
100,15,186,Dragon Fruit
96,15,187,Sapota
91,25,276,Sweet Potato
79,15,139,Lichi
166,25,175,Maize
118,26,175,Turmeric
100,19,130,Linseed
97,16,151,Pineapple
71,17,91,Cowpea
124,20,186,Cabbage
84,15,139,Linseed
101,25,199,Avocado
123,27,174,Avocado
69,25,110,Groundnut
83,23,103,Sesame
118,23,146,Mustard
128,15,130,Castor
125,20,104,Cotton
78,13,159,Tapioca
72,12,106,Niger Seed
161,23,184,Maize
164,21,171,Onion
111,11,95,Bajra (Pearl Millet)
90,20,123,Mesta
184,19,254,Potato
76,22,128,Mesta
99,12,187,Tapioca
87,15,142,Lichi
138,17,179,Cabbage
104,22,197,Turmeric
69,15,91,Cowpea
163,21,263,Mango
65,17,137,Coriander
81,24,107,Mesta
97,12,100,Watermelon
154,23,144,Paddy
100,15,171,Fig
163,17,191,Maize
101,17,160,Cabbage
184,24,207,Grapes
69,16,93,Avare (Field Bean)
192,23,297,Sugarcane
118,14,120,Navane (Foxtail Millet)
199,22,179,Jackfruit
150,23,145,Paddy
76,12,192,Tapioca
87,11,170,Tapioca
83,10,107,Lichi
84,25,171,Pineapple
183,21,286,Banana
77,17,114,Linseed
98,11,105,Muskmelon
135,23,177,Pomegranate
118,30,196,Tobacco
118,19,195,Orange
67,24,118,Groundnut
75,15,122,Tur (Arhar/Toor Dal)
108,24,109,Castor
82,14,125,Watermelon
104,18,160,Cabbage
87,18,121,Lichi
162,20,245,Sugarcane
144,22,195,Guava
93,16,153,Pineapple
125,18,102,Bajra (Pearl Millet)
131,24,176,Cabbage
148,19,146,Castor
156,23,297,Sugarcane
87,15,171,Fig
86,23,93,Sesame
78,16,143,Watermelon
117,19,194,Safflower
136,15,134,Chillies
110,18,171,Orange
51,19,119,Cowpea
83,24,164,Pineapple
85,13,118,Muskmelon
63,20,116,Horse Gram
119,18,174,Dragon Fruit
118,24,102,Mustard
83,15,272,Sweet Potato
110,17,194,Sunflower
115,27,154,Ginger
